artist,album,sum,mean,median,count
Iron Maiden,A Matter of Life and Death,51477971,5147797.1,3245595.0,10
Iron Maiden,Brave New World,123638444,12363844.4,6900198.0,10
Iron Maiden,Dance of Death,63517722,5774338.363636363,2432710.0,11
Iron Maiden,Fear of the Dark,326659667,27221638.916666668,4011567.5,12
Iron Maiden,Iron Maiden,98309343,12288667.875,12438842.0,8
Iron Maiden,Killers,57371884,5737188.4,4054856.5,10
Iron Maiden,No Prayer for the Dying,33423091,3713676.777777778,3204185.0,9
Iron Maiden,Piece of Mind,315869963,35096662.55555555,6820821.0,9
Iron Maiden,Powerslave,217079054,27134881.75,11762091.5,8
Iron Maiden,Senjutsu,30603160,3400351.111111111,2703808.0,9
Iron Maiden,Seventh Son of a Seventh Son,101257464,12657183.0,8507470.0,8
Iron Maiden,Somewhere in Time,140063050,17507881.25,9156104.5,8
Iron Maiden,The Book of Souls,110272088,10024735.272727273,8459570.0,11
Iron Maiden,The Final Frontier,41100542,4110054.2,2992020.0,10
Iron Maiden,The Number of the Beast,542184223,67773027.875,17306224.0,8
Iron Maiden,The X Factor,22549468,2049951.6363636365,1120873.0,11
Iron Maiden,Virtual XI,24306572,3038321.5,1370809.0,8
Judas Priest,Angel Of Retribution,29501825,2950182.5,1591953.5,10
Judas Priest,British Steel,255923748,25592374.8,5222297.5,10
Judas Priest,Defenders Of The Faith,33850420,3761157.777777778,3972330.0,9
Judas Priest,Defenders of the Faith ( [Remastered],36762827,3342075.1818181816,3250272.0,11
Judas Priest,Firepower,71727245,5123374.642857143,3748010.0,14
Judas Priest,Killing Machine,30446015,2537167.9166666665,853538.5,12
Judas Priest,Nostradamus,13583749,590597.7826086957,511141.0,23
Judas Priest,Painkiller,132223148,12020286.181818182,5989852.0,11
Judas Priest,Point Of Entry,16081094,1461917.6363636365,625825.0,11
Judas Priest,Ram It Down,18256781,1825678.1,795536.5,10
Judas Priest,Redeemer of Souls,30009586,1667199.2222222222,911340.0,18
Judas Priest,Rocka Rolla,873348,87334.8,69310.0,10
Judas Priest,Sad Wings Of Destiny,2395189,266132.1111111111,176533.0,9
Judas Priest,Screaming For Vengeance,158272446,14388404.181818182,4428022.0,11
Judas Priest,Sin After Sin,16134279,1792697.6666666667,951139.0,9
Judas Priest,Stained Class,25825404,2582540.4,848901.5,10
Judas Priest,Turbo 30,42460247,4717805.222222222,1675071.0,9
